id,name,chain,protocol,base,reward,apy,tvl,link,is_new,watched,class,has_rewards
17341,USDT,BNB Chain,ACryptoS,0.0085,0.0,0.0085,223000,https://api.coindix.com/vault/17341/redirect,False,False,C,no
169990,wBTC-renBTC,Fantom,Curve,0.0001,0.008,0.0081,5200000,https://api.coindix.com/vault/169990/redirect,False,False,C,yes
39239,DAI,Fantom,Yearn,0.0074,0.0,0.0074,5600310,https://api.coindix.com/vault/39239/redirect,False,False,C,no
40265,USDC-DAI,Fantom,SpookySwap,0.0071,0.0,0.0071,221407,https://api.coindix.com/vault/40265/redirect,False,False,C,no
22940,TUSD,Ethereum,Aave,0.00681389,0.0,0.00681389,43660981,https://api.coindix.com/vault/22940/redirect,False,False,B,no
169992,DAI-USDC-USDT,Optimism,Curve,0.0034,0.0034,0.0068,21300000,https://api.coindix.com/vault/169992/redirect,False,False,B,yes
207221,USDC,Fantom,Tarot,0.0066,0.0,0.0066,39708,https://api.coindix.com/vault/207221/redirect,False,False,C,no
272177,FRAX-USDT,Ethereum,Uniswap,0.006544,0.0,0.006544,7846468,https://api.coindix.com/vault/272177/redirect,False,False,C,no
17589,DAI,Fantom,Cream,0.006214,0.0,0.006214,317783,https://api.coindix.com/vault/17589/redirect,False,False,C,no
51282,DAI,Fantom,IronBank,0.0062,0.0,0.0062,317783,https://api.coindix.com/vault/51282/redirect,False,False,C,no
22949,USDP,Ethereum,Aave,0.00581217,0.0,0.00581217,882001,https://api.coindix.com/vault/22949/redirect,False,False,C,no
22951,FRAX,Ethereum,Aave,0.00558055,0.0,0.00558055,27519069,https://api.coindix.com/vault/22951/redirect,False,False,B,no
272427,USDC-USDT,Polygon,Uniswap,0.0055426,0.0,0.0055426,814518,https://api.coindix.com/vault/272427/redirect,False,False,C,no
40327,USDC-MIM,Fantom,SpookySwap,0.0052,0.0,0.0052,422775,https://api.coindix.com/vault/40327/redirect,False,False,C,no
283436,USDC-EURS,Polygon,Uniswap,0.00512,0.0,0.00512,25759,https://api.coindix.com/vault/283436/redirect,True,False,C,no
67158,BUSD,Ethereum,cBridge,0.00499084,0.0,0.00499084,175680,https://api.coindix.com/vault/67158/redirect,False,False,C,no
39237,USDC,Fantom,Yearn,0.0049,0.0,0.0049,4295556,https://api.coindix.com/vault/39237/redirect,False,False,C,no
17138,USDC-USDT,Polygon,Beefy,0.0048183,0.0,0.0048183,99047,https://api.coindix.com/vault/17138/redirect,False,False,C,no
17600,USDC,Polygon,Cream,0.004802,0.0,0.004802,158047,https://api.coindix.com/vault/17600/redirect,False,False,C,no
17279,BUSD,Ethereum,Yearn,0.0047,0.0,0.0047,765080,https://api.coindix.com/vault/17279/redirect,False,False,C,no
22953,DAI,Polygon,Aave,0.00443932,0.0,0.00443932,36627273,https://api.coindix.com/vault/22953/redirect,False,False,B,no
